,card_number,expiry_date,card_provider,date_payment_confirmed
2497,345073716273819,04/29,American Express,2021-11-22
2498,30093325154549,05/23,Diners Club / Carte Blanche,2010-05-27
2499,3500704420524830,04/25,JCB 16 digit,2020-10-06
2500,676234221320,06/24,Maestro,2016-09-27
2501,4149352270816240,08/26,VISA 16 digit,2006-11-24
2502,213199282162976,11/27,JCB 15 digit,2010-10-27
2503,502038797465,05/26,Maestro,2007-05-25
2504,213112342158462,01/26,JCB 15 digit,2014-04-25
2505,6011371923390080,08/29,Discover,2013-12-13
2506,4162848914252490,04/28,VISA 16 digit,2016-12-17
2507,38627248690758,09/27,Diners Club / Carte Blanche,1993-11-28
2508,3578292272576180,10/28,JCB 16 digit,2002-10-11
2509,4268737612359850000,10/28,VISA 19 digit,2016-01-26
2510,30353118729489,09/32,Diners Club / Carte Blanche,2018-07-16
2511,180053612567801,07/25,JCB 15 digit,2016-01-19
2512,3530736457550850,03/28,JCB 16 digit,2011-12-12
2513,4205772601285150,10/23,VISA 16 digit,2014-11-04
2514,344869353021556,04/27,American Express,2008-02-21
2515,3546087311758690,07/23,JCB 16 digit,2008-11-02
2516,3513732569684160,04/30,JCB 16 digit,2022-05-21
2517,5233684933835440,12/23,Mastercard,2021-04-24
2518,3558575649157770,07/31,JCB 16 digit,2014-04-07
2519,180050638926268,03/32,JCB 15 digit,2007-12-10
2520,213154498831575,11/30,JCB 15 digit,2003-05-18
2521,60484795434,04/32,Maestro,2009-11-06
2522,30347363665315,05/27,Diners Club / Carte Blanche,2012-07-17
2523,4841570524425800000,12/26,VISA 19 digit,2001-10-20
2524,36391604791609,10/24,Diners Club / Carte Blanche,2005-10-03
2525,213189403797768,12/22,JCB 15 digit,2017-01-14
2526,6011200675598820,08/30,Discover,2003-12-17
2527,340091747082327,12/22,American Express,2008-03-18
2528,676204275215,09/26,Maestro,2002-02-24
2529,30472492966150,05/31,Diners Club / Carte Blanche,2010-05-12
2530,341700241223901,10/30,American Express,2015-06-17
2531,501836490299,01/24,Maestro,2001-02-16
2532,4571092503339,12/24,VISA 13 digit,2001-10-05
2533,4657992422948900,09/29,VISA 16 digit,2003-04-30
2534,4545195087556,02/25,VISA 13 digit,2020-07-31
2535,4852957825434860000,06/29,VISA 19 digit,1993-03-17
2536,3506588255484600,04/28,JCB 16 digit,2018-03-23
2537,213139816423163,03/30,JCB 15 digit,1993-03-29
2538,4610805518023080,11/27,VISA 16 digit,2019-12-26
2539,576463312909,04/29,Maestro,2008-04-04
2540,4093981930369060,07/24,VISA 16 digit,2014-12-08
2541,570925392856,04/24,Maestro,1997-07-09
2542,4530510356672060000,12/28,VISA 19 digit,2009-03-09
2543,3505771725770510,10/25,JCB 16 digit,2010-07-31
2544,4346746017320260000,07/23,VISA 19 digit,2020-06-03
2545,4743286561604680,08/25,VISA 16 digit,1996-10-27
2546,6011910079486840,03/29,Discover,2012-06-08
2547,4353419900816660000,06/31,VISA 19 digit,2020-06-20
2548,3519354947626710,03/28,JCB 16 digit,2022-06-03
2549,30529466181726,03/31,Diners Club / Carte Blanche,2017-05-23
2550,4767184040153810,10/24,VISA 16 digit,1995-12-04
2551,30368179003053,08/27,Diners Club / Carte Blanche,2009-12-25
2552,4829474517039620,09/24,VISA 16 digit,2015-05-29
2553,5263762305258180,12/30,Mastercard,2014-11-19
2554,6521668329644850,06/31,Discover,2009-11-03
2555,3511795653630240,08/32,JCB 16 digit,2009-01-27
2556,6011523196488430,12/22,Discover,2021-02-01
2557,5308149532743030,07/30,Mastercard,2002-03-03
2558,2702770093143970,05/24,Mastercard,2005-07-23
2559,3522145888051390,05/23,JCB 16 digit,2007-06-06
2560,578497853551,09/30,Maestro,2011-11-12
2561,4128716790444560,05/23,VISA 16 digit,1996-01-28
2562,372196319244485,03/26,American Express,2019-10-07
2563,213123715974963,12/26,JCB 15 digit,2004-07-29
2564,4731095563517360000,05/29,VISA 19 digit,1999-12-18
2565,4578828365865220000,11/25,VISA 19 digit,2005-08-24
2566,213136466024937,04/23,JCB 15 digit,2005-03-01
2567,2241406396310430,04/29,Mastercard,2013-01-07
2568,2297912136667210,08/29,Mastercard,2015-06-26
2569,3541395935364440,03/32,JCB 16 digit,2010-07-07
2570,347798287475751,09/30,American Express,2011-05-22
2571,2234803522259090,01/30,Mastercard,2020-07-09
2572,6598834619228710,12/28,Discover,2004-12-26
2573,2702480217242730,07/30,Mastercard,2009-02-26
2574,2250422029958590,10/23,Mastercard,2002-09-18
2575,4787684298274,10/32,VISA 13 digit,2005-03-19
2576,376474789020149,06/26,American Express,2012-06-21
2577,6011435654826130,12/23,Discover,2008-02-07
2578,4981038571082640000,11/31,VISA 19 digit,1996-01-31
2579,4938142446670,06/27,VISA 13 digit,2010-09-10
2580,2282692780707330,07/24,Mastercard,2015-10-08
2581,4489251447564970000,01/31,VISA 19 digit,1996-01-30
2582,3522471869199530,01/30,JCB 16 digit,1997-04-10
2583,30512525652820,07/28,Diners Club / Carte Blanche,2021-04-30
2584,676230329838,02/31,Maestro,2003-12-12
2585,2230638952411750,10/26,Mastercard,2014-01-22
2586,4806430668125,11/26,VISA 13 digit,2012-07-19
2587,180018508618455,12/23,JCB 15 digit,2002-06-08
2588,630431938723,08/29,Maestro,2005-12-19
2589,38046773162473,09/24,Diners Club / Carte Blanche,2010-11-20
2590,213155611260576,12/24,JCB 15 digit,2007-12-23
2591,213163810349224,09/25,JCB 15 digit,2011-04-22
2592,341591954928814,08/30,American Express,1999-07-24
2593,3537525472412380,06/23,JCB 16 digit,1994-04-20
2594,4829780370778940000,11/23,VISA 19 digit,2019-05-05
2595,30116876838630,04/24,Diners Club / Carte Blanche,2012-03-03
2596,630492725084,08/25,Maestro,2016-10-25
2597,180087915174329,09/23,JCB 15 digit,2018-05-29
2598,180053188608807,08/29,JCB 15 digit,2010-09-03
2599,4962883025239040000,08/27,VISA 19 digit,2010-05-07
2600,4378906639194740,01/28,VISA 16 digit,2022-06-28
2601,4466028781263640,01/23,VISA 16 digit,2009-07-31
2602,3556038008970640,12/29,JCB 16 digit,2002-09-05
2603,180000812031260,12/27,JCB 15 digit,2011-05-09
2604,2249401213755160,09/23,Mastercard,2021-02-06
2605,213136900480802,07/23,JCB 15 digit,1999-11-07
2606,180046909635729,01/28,JCB 15 digit,1995-12-29
2607,3572465614039780,04/29,JCB 16 digit,2021-09-09
2608,30582030726294,08/32,Diners Club / Carte Blanche,1993-08-08
2609,3595281521280050,05/30,JCB 16 digit,1996-03-14
2610,4093894789876750000,07/24,VISA 19 digit,2009-11-12
2611,3581353101983300,08/27,JCB 16 digit,2007-01-23
2612,4626455698744980,07/26,VISA 16 digit,1999-06-23
2613,4354675123372160000,08/28,VISA 19 digit,2014-09-30
2614,675955324255,11/26,Maestro,2003-07-01
2615,4418347086867670,10/32,VISA 16 digit,2003-08-27
2616,3592619954421310,06/24,JCB 16 digit,2019-10-29
2617,30067891201611,12/31,Diners Club / Carte Blanche,2013-10-27
2618,4749111641790030000,10/25,VISA 19 digit,2009-03-01
2619,5391753448738040,07/30,Mastercard,2021-08-04
2620,36087701294535,11/27,Diners Club / Carte Blanche,2019-11-07
2621,3586552448584230,06/28,JCB 16 digit,2006-04-08
2622,4997623342992870,04/29,VISA 16 digit,2011-06-25
2623,344982247087475,08/26,American Express,2015-03-16
2624,4637454566866160,12/26,VISA 16 digit,2015-09-02
2625,180037334642281,03/25,JCB 15 digit,2021-06-05
2626,3574175071142980,07/25,JCB 16 digit,2014-01-29
2627,180050613949525,01/28,JCB 15 digit,1994-04-28
2628,639067379730,10/25,Maestro,2022-06-07
2629,343329328741979,03/30,American Express,2016-10-05
2630,4298301734729180,04/24,VISA 16 digit,2006-11-25
2631,3557941374608980,04/23,JCB 16 digit,1997-11-28
2632,372705216617690,07/30,American Express,2017-08-10
2633,4603438651458620,01/30,VISA 16 digit,1996-03-11
2634,4533086127756,11/30,VISA 13 digit,1995-10-05
2635,2720925801724680,02/24,Mastercard,2001-11-07
2636,3514991959060760,10/27,JCB 16 digit,2010-10-29
2637,38659981870081,06/26,Diners Club / Carte Blanche,2019-03-01
2638,379409395395300,11/23,American Express,1997-07-26
2639,3504413203677250,01/24,JCB 16 digit,1996-03-11
2640,6011768740353060,04/32,Discover,1998-01-31
2641,584466770834,04/30,Maestro,2000-05-09
2642,343792966111203,09/29,American Express,2004-04-04
2643,4781075640621900,01/25,VISA 16 digit,1994-03-05
2644,3573579379214570,09/23,JCB 16 digit,2014-01-24
2645,3588304331599070,01/29,JCB 16 digit,2014-03-16
2646,180041979346372,06/25,JCB 15 digit,2019-05-23
2647,639001949069,07/31,Maestro,2014-09-11
2648,180090515818782,12/31,JCB 15 digit,1997-05-01
2649,4950109872731,11/28,VISA 13 digit,2010-07-16
2650,4178151788874,06/23,VISA 13 digit,2015-05-20
2651,4514491658175180,12/28,VISA 16 digit,1993-03-08
2652,4662655710103560,07/28,VISA 16 digit,2010-08-20
2653,5346691659712110,08/29,Mastercard,2018-09-24
2654,60437825247,11/28,Maestro,2013-04-21
2655,36466598694934,06/28,Diners Club / Carte Blanche,2008-01-02
2656,180022695765921,04/28,JCB 15 digit,2022-10-09
2657,180010900198939,08/24,JCB 15 digit,2001-11-20
2658,4183930664856360,06/24,VISA 16 digit,2015-10-20
2659,2624094692286430,04/30,Mastercard,2003-09-10
2660,4051926095349,06/23,VISA 13 digit,2000-08-30
2661,3509289149469940,09/30,JCB 16 digit,2021-10-12
2662,4889651160022,09/29,VISA 13 digit,2018-11-06
2663,4803356215279400000,02/31,VISA 19 digit,2018-01-11
2664,3521674532536820,03/24,JCB 16 digit,2011-05-24
2665,377166149722443,07/25,American Express,2011-07-01
2666,379863761781529,12/27,American Express,1997-09-14
2667,4948937747026,06/25,VISA 13 digit,2020-10-27
2668,2271124768894770,09/25,Mastercard,2015-10-16
2669,4719401299700880,08/24,VISA 16 digit,2021-01-09
2670,4901003755956110000,12/26,VISA 19 digit,1994-05-21
2671,6579379044882430,06/29,Discover,1997-09-17
2672,6011464016705630,12/24,Discover,2012-05-01
2673,4652734165147380000,04/30,VISA 19 digit,2002-08-09
2674,2717895375009970,01/26,Mastercard,2012-10-07
2675,6529591393097440,07/26,Discover,2004-07-22
2676,4134662565295080000,08/31,VISA 19 digit,1996-05-12
2677,5444593384917220,04/26,Mastercard,2003-10-15
2678,4491032745940620000,07/29,VISA 19 digit,2005-07-19
2679,4379464781465430000,10/28,VISA 19 digit,1995-07-11
2680,6584347241127950,09/30,Discover,2022-05-05
2681,4199388772658040000,12/22,VISA 19 digit,2009-10-24
2682,3567732633226460,01/27,JCB 16 digit,1996-08-17
2683,4592745345302410,06/25,VISA 16 digit,2008-02-21
2684,4204556734089480000,08/32,VISA 19 digit,2006-03-20
2685,3535914503406120,03/32,JCB 16 digit,1993-12-16
2686,349372928720054,01/32,American Express,2021-10-06
2687,36874584280735,03/32,Diners Club / Carte Blanche,2020-12-11
2688,4205032046144100,05/24,VISA 16 digit,2003-10-01
2689,3593957632676310,07/29,JCB 16 digit,2017-09-05
2690,4935809119193260,12/26,VISA 16 digit,1997-09-20
2691,572621793536,06/23,Maestro,2019-05-22
2692,4552851113166140,05/26,VISA 16 digit,2020-03-18
2693,2293302817523000,06/30,Mastercard,1996-06-09
2694,4888569202914200,12/25,VISA 16 digit,2006-01-19
2695,4789107607446050,03/28,VISA 16 digit,1999-02-11
2696,2675242852214440,08/25,Mastercard,2005-02-25
2697,180075249586144,05/31,JCB 15 digit,2015-08-22
2698,346047363006382,09/29,American Express,2019-09-15
2699,676335537855,04/23,Maestro,2007-10-08
2700,4338317103745,11/25,VISA 13 digit,2009-10-20
2701,4587936181762050,10/31,VISA 16 digit,2017-07-26
2702,3536238921106510,06/28,JCB 16 digit,2015-11-17
2703,639098511830,01/25,Maestro,1993-12-01
2704,6011081286471320,02/24,Discover,2012-11-26
2705,502044141047,07/31,Maestro,1997-05-30
2706,6535041526918180,06/30,Discover,2014-06-27
2707,213182610605718,08/23,JCB 15 digit,1999-02-16
2708,4307349689252,07/23,VISA 13 digit,1998-10-22
2709,4496375095026820,12/26,VISA 16 digit,1995-01-14
2710,4475602837366520,08/29,VISA 16 digit,2015-05-30
2711,213151086904442,06/28,JCB 15 digit,1999-06-18
2712,342126932107626,06/32,American Express,2014-10-21
2713,5338233039922500,10/28,Mastercard,1997-02-21
2714,5116658958187700,11/28,Mastercard,2005-03-10
2715,346591734480735,09/25,American Express,2016-05-12
2716,6509756132942760,05/26,Discover,2002-01-15
2717,213100148209993,03/28,JCB 15 digit,1998-06-10
2718,213193096747270,09/31,JCB 15 digit,1996-07-11
2719,2299078991897790,11/29,Mastercard,2007-03-18
2720,4818309982367920,10/25,VISA 16 digit,2010-01-23
2721,4528192451959,03/27,VISA 13 digit,2016-08-05
2722,4649060942090700,06/30,VISA 16 digit,1997-12-19
2723,4474225161861,04/27,VISA 13 digit,2020-01-06
2724,3515567498572260,01/32,JCB 16 digit,2002-11-18
2725,4743109209749870,08/27,VISA 16 digit,2008-01-08
2726,213164924446427,09/30,JCB 15 digit,1997-01-28
2727,30277632733612,05/32,Diners Club / Carte Blanche,2018-04-13
2728,180076813645118,07/27,JCB 15 digit,2019-06-22
2729,4452610700840070,12/28,VISA 16 digit,2006-06-17
2730,4247974223888540,11/26,VISA 16 digit,2003-06-23
2731,4595788348600,10/25,VISA 13 digit,2015-12-24
2732,2713295146169140,01/23,Mastercard,2019-06-16
2733,585028717965,09/23,Maestro,2021-09-10
2734,4681081649736600000,08/25,VISA 19 digit,1997-09-18
2735,4012923970005930,11/28,VISA 16 digit,2002-02-06
2736,180045842512037,07/29,JCB 15 digit,2005-03-21
2737,213144518857932,09/28,JCB 15 digit,2012-07-21
2738,3568405493526200,08/28,JCB 16 digit,2009-02-14
2739,38105186360429,12/29,Diners Club / Carte Blanche,2022-04-13
2740,5575736157277460,08/27,Mastercard,2014-06-10
2741,213130688334588,03/32,JCB 15 digit,1992-12-05
2742,30488060489052,07/25,Diners Club / Carte Blanche,2006-07-14
2743,180086290131581,04/31,JCB 15 digit,2020-11-27
2744,4934496210259,12/31,VISA 13 digit,2010-01-10
2745,4935843749049490,06/23,VISA 16 digit,2010-11-25
2746,503824615606,07/31,Maestro,2004-10-08
2747,4654628327380440000,10/28,VISA 19 digit,2017-08-17
2748,373498303619212,10/27,American Express,2004-08-26
2749,4335322481095080,10/23,VISA 16 digit,2022-09-27
2750,4386016680897770000,03/31,VISA 19 digit,1998-08-16
2751,36385438956768,08/26,Diners Club / Carte Blanche,2021-07-26
2752,4968636772310420000,06/27,VISA 19 digit,2007-05-04
2753,4828815759616650000,11/27,VISA 19 digit,2007-02-08
2754,3509771341454130,05/23,JCB 16 digit,2020-11-12
2755,4273936859415240,06/25,VISA 16 digit,2008-09-04
2756,3502331705465020,10/23,JCB 16 digit,2007-03-16
2757,4541363882605,05/28,VISA 13 digit,2020-03-24
2758,4232760354012390,04/30,VISA 16 digit,2016-01-05
2759,4041819527433,03/29,VISA 13 digit,1996-10-30
2760,2552860262304870,11/24,Mastercard,2016-12-21
2761,4038042070233910,01/26,VISA 16 digit,2018-06-14
2762,375889369473205,10/27,American Express,2006-05-30
2763,180035180227892,09/29,JCB 15 digit,2002-01-31
2764,3526694445873730,04/31,JCB 16 digit,2007-09-16
2765,4223316713572840,02/29,VISA 16 digit,2015-09-14
2766,4392303094977550000,10/24,VISA 19 digit,2022-02-10
2767,6537700513994000,03/29,Discover,2015-01-29
2768,36285962003070,05/28,Diners Club / Carte Blanche,2010-10-25
2769,30596251011517,08/32,Diners Club / Carte Blanche,1993-03-07
2770,572896627013,11/29,Maestro,1997-08-18
2771,4463833249606760000,02/25,VISA 19 digit,2002-02-20
2772,2279591659119450,11/26,Mastercard,2006-02-25
2773,4606810568458810,05/32,VISA 16 digit,2014-10-11
2774,676164847425,10/29,Maestro,1993-03-09
2775,6562337307407590,07/25,Discover,1998-06-23
2776,180067839217446,10/32,JCB 15 digit,2006-05-16
2777,2716471534054850,09/25,Mastercard,2021-03-28
2778,3504565277586850,03/31,JCB 16 digit,1996-12-07
2779,3586575842939660,07/25,JCB 16 digit,2020-09-20
2780,349623662767754,11/23,American Express,2006-04-18
2781,38489852864777,09/25,Diners Club / Carte Blanche,2000-03-05
2782,4755337990267540,08/30,VISA 16 digit,2004-01-18
2783,378781727505207,12/31,American Express,2006-12-24
2784,30545836376374,01/25,Diners Club / Carte Blanche,2004-07-18
2785,3542934848837780,10/24,JCB 16 digit,2014-11-14
2786,6011836238900860,09/28,Discover,2000-04-19
2787,503856414662,02/24,Maestro,1999-01-12
2788,2243467540260510,12/26,Mastercard,1999-07-30
2789,4896866293901200000,03/25,VISA 19 digit,2009-08-24
2790,6011028203653750,06/23,Discover,2003-07-30
2791,4815399037395720000,01/32,VISA 19 digit,2000-09-17
2792,344490588125920,11/25,American Express,1994-09-22
2793,4064328838752,12/22,VISA 13 digit,2009-01-05
2794,639090458477,05/25,Maestro,2003-08-07
2795,4669484909401,02/29,VISA 13 digit,2002-08-31
2796,3527346006499160,03/23,JCB 16 digit,2006-09-18
2797,60444125425,06/26,Maestro,2012-07-06
2798,2287595620506430,06/23,Mastercard,2008-08-23
2799,4151903182009630,04/30,VISA 16 digit,1993-12-19
2800,3552593437333510,04/28,JCB 16 digit,2016-06-09
2801,6590297004559580,01/24,Discover,2005-09-01
2802,3568263993150630,03/25,JCB 16 digit,2014-11-25
2803,4867761798455450000,11/31,VISA 19 digit,2003-11-10
2804,501890549881,03/23,Maestro,2011-10-11
2805,4276374570879,11/29,VISA 13 digit,2004-02-18
2806,676177153134,10/32,Maestro,2020-09-13
2807,2312214549483310,12/23,Mastercard,2017-02-23
2808,180080772418046,11/24,JCB 15 digit,2022-07-02
2809,373792360167861,10/23,American Express,1996-07-29
2810,2720213664031660,03/28,Mastercard,2008-01-07
2811,3598352110665050,12/26,JCB 16 digit,2013-01-02
2812,3513331842631420,10/31,JCB 16 digit,2017-06-17
2813,2269899475166640,09/31,Mastercard,2020-10-23
2814,2230384561213260,03/32,Mastercard,2016-01-22
2815,346704704802198,01/23,American Express,2009-04-26
2816,3574569317389820,05/30,JCB 16 digit,2015-10-29
2817,2234986594992140,11/25,Mastercard,1994-07-08
2818,213123100015612,04/29,JCB 15 digit,2011-11-02
2819,377913983922641,01/32,American Express,2020-09-01
2820,371325832884144,01/25,American Express,2011-09-02
2821,30038687078455,04/23,Diners Club / Carte Blanche,2016-06-11
2822,6011182961898340,03/27,Discover,2012-12-28
2823,4944616419281460,08/30,VISA 16 digit,1997-12-11
2824,5375087100402010,09/25,Mastercard,2021-08-29
2825,4992555403185240000,05/31,VISA 19 digit,2019-09-12
2826,4607911703559,07/31,VISA 13 digit,2003-03-04
2827,4606992886531,12/24,VISA 13 digit,2002-07-04
2828,3571655327969040,01/31,JCB 16 digit,2001-06-17
2829,379083171040172,10/26,American Express,2003-01-21
2830,NULL,NULL,NULL,NULL
2831,6520150636164720,11/32,Discover,1995-09-19
2832,30137693036752,10/31,Diners Club / Carte Blanche,2013-04-16
2833,345240446769487,02/23,American Express,2018-12-21
2834,502074337556,10/27,Maestro,2010-05-29
2835,4095682298647810,08/24,VISA 16 digit,2020-09-19
2836,4545794680828260000,02/26,VISA 19 digit,2005-03-09
2837,213165762292500,01/32,JCB 15 digit,1999-01-25
2838,343163742043260,10/29,American Express,2013-12-06
2839,38099378556961,06/31,Diners Club / Carte Blanche,2017-08-10
2840,2303797525832120,07/27,Mastercard,1996-11-11
2841,2719734140798220,02/28,Mastercard,2012-04-06
2842,213154160174213,08/24,JCB 15 digit,2014-07-04
2843,213182890797573,06/27,JCB 15 digit,1998-03-17
2844,213114477719654,06/29,JCB 15 digit,2010-03-02
2845,4760524583064,01/30,VISA 13 digit,1994-10-24
2846,4917339684725980000,08/27,VISA 19 digit,2002-01-14
2847,2714784348620970,03/28,Mastercard,2017-05-07
2848,4828813976540890,09/24,VISA 16 digit,2013-06-28
2849,349390741534627,04/23,American Express,2011-01-08
2850,378028870664732,12/24,American Express,1998-07-08
2851,3566647360337660,10/23,JCB 16 digit,2012-12-26
2852,371429233000035,08/27,American Express,2003-05-01
2853,560079802719,11/24,Maestro,1997-05-05
2854,3574663465733890,05/30,JCB 16 digit,1998-12-06
2855,2255393025111190,07/29,Mastercard,1994-09-19
2856,4536418321068340,08/27,VISA 16 digit,1994-11-30
2857,6508196346953190,04/29,Discover,2020-03-02
2858,6011699740288460,10/25,Discover,2011-04-28
2859,341054494380137,05/27,American Express,1999-07-28
2860,3504944239261960,08/24,JCB 16 digit,2014-03-20
2861,502036931991,07/30,Maestro,1998-08-28
2862,4455354874019110,08/26,VISA 16 digit,1996-08-07
2863,6588931003817620,03/23,Discover,2008-02-04
2864,4468769012875310,01/32,VISA 16 digit,2019-03-17
2865,6011971294603350,09/23,Discover,2004-11-09
2866,2234561145917640,08/26,Mastercard,2009-04-22
2867,2229334874477980,06/26,Mastercard,2021-05-15
2868,3583944995637960,10/25,JCB 16 digit,2012-01-26
2869,6567957878027110,10/31,Discover,2017-11-30
2870,5244387446215840,07/27,Mastercard,2000-09-26
2871,676162363599,11/24,Maestro,1996-05-06
2872,4747425506270310,08/28,VISA 16 digit,2006-03-20
2873,379642603204290,06/28,American Express,1998-11-17
2874,2642483115215600,06/26,Mastercard,2017-05-18
2875,3531815749720790,01/29,JCB 16 digit,2007-08-17
2876,6521161242038580,08/31,Discover,2002-01-20
2877,676220069584,06/30,Maestro,2020-03-10
2878,6561055362342370,03/26,Discover,2008-07-08
2879,379853332425789,08/29,American Express,2005-07-18
2880,4469086174177,05/27,VISA 13 digit,1996-12-20
2881,30272407872372,09/32,Diners Club / Carte Blanche,2012-06-22
2882,630479837589,11/24,Maestro,2003-10-04
2883,213137282117673,01/26,JCB 15 digit,2000-04-11
2884,3590401859693630,04/32,JCB 16 digit,1996-08-09
2885,30532839381429,12/25,Diners Club / Carte Blanche,2021-04-11
2886,6011621684075020,07/32,Discover,1994-04-07
2887,5356337510573190,02/28,Mastercard,2003-01-10
2888,3508264257212130,07/30,JCB 16 digit,1994-07-09
2889,30075445074236,08/26,Diners Club / Carte Blanche,2015-07-07
2890,180089242624810,04/30,JCB 15 digit,2000-12-05
2891,675952193356,11/30,Maestro,2017-01-22
2892,30023668062405,10/25,Diners Club / Carte Blanche,2009-03-14
2893,5120414642116720,01/32,Mastercard,2009-06-24
2894,3505431868014040,04/30,JCB 16 digit,2017-07-01
2895,3568723617896950,03/24,JCB 16 digit,1997-06-08
2896,213137399735243,11/25,JCB 15 digit,2007-02-15
2897,4754112736914140000,06/26,VISA 19 digit,2002-10-20
2898,676231803328,07/25,Maestro,2000-09-23
2899,2557465871876720,07/27,Mastercard,1997-12-05
2900,4478310471695400,10/30,VISA 16 digit,2004-08-30
2901,3518358520138060,02/25,JCB 16 digit,2021-08-20
2902,371715360587897,01/29,American Express,2005-04-22
2903,30149027408383,12/29,Diners Club / Carte Blanche,1993-12-01
2904,36282751787674,08/27,Diners Club / Carte Blanche,2019-02-27
2905,30440981395421,11/30,Diners Club / Carte Blanche,2022-01-09
2906,6011026127138140,08/24,Discover,1999-03-07
2907,588473267882,11/24,Maestro,1994-06-20
2908,30585862784802,10/27,Diners Club / Carte Blanche,2015-10-15
2909,6011597015684570,07/27,Discover,1994-12-27
2910,180073611913210,05/24,JCB 15 digit,2002-06-21
2911,3518437680124310,07/25,JCB 16 digit,2021-11-27
2912,343561823527970,01/25,American Express,1994-11-08
2913,3500515506222250,06/31,JCB 16 digit,2020-05-18
2914,3566543303989020,02/24,JCB 16 digit,2002-11-16
2915,349969986313845,05/23,American Express,2007-11-17
2916,3543708102307380,05/29,JCB 16 digit,2009-10-20
2917,503818037668,05/31,Maestro,2001-03-21
2918,2669571638925090,09/23,Mastercard,2000-03-26
2919,213117110085243,12/23,JCB 15 digit,2003-11-24
2920,4891282777315,01/31,VISA 13 digit,1996-02-24
2921,4430294859082,08/29,VISA 13 digit,1994-06-17
2922,4136298565075160,09/26,VISA 16 digit,2009-05-25
2923,30133153379337,07/26,Diners Club / Carte Blanche,1992-11-30
2924,3502712222225410,03/24,JCB 16 digit,2002-01-30
2925,4568024191753,10/26,VISA 13 digit,1993-07-08
2926,6011237541765340,08/24,Discover,2005-03-16
2927,4134361598202100,09/31,VISA 16 digit,2011-04-14
2928,4118201790355,09/32,VISA 13 digit,2002-10-09
2929,6011443007668610,01/25,Discover,1993-02-28
2930,30146881109644,03/28,Diners Club / Carte Blanche,2021-07-26
2931,4482887183139280,02/31,VISA 16 digit,2015-08-09
2932,579084373060,02/25,Maestro,1993-05-10
2933,342024642343286,07/26,American Express,2011-09-01
2934,4021444336174560,06/25,VISA 16 digit,1995-06-06
2935,378400358164727,08/28,American Express,2018-10-31
2936,30237763632991,04/25,Diners Club / Carte Blanche,1994-09-19
2937,341238559729268,04/31,American Express,2017-01-21
2938,3566530963673990,10/24,JCB 16 digit,2016-12-26
2939,502066366969,12/28,Maestro,2004-03-26
2940,4707527132175550,05/32,VISA 16 digit,2016-11-13
2941,6011454884639160,11/32,Discover,2007-12-24
2942,3550329635738750,03/31,JCB 16 digit,2005-04-23
2943,4125349221321820,12/27,VISA 16 digit,2022-09-14
2944,2291426725611720,06/30,Mastercard,2007-10-09
2945,6584600436048450,05/25,Discover,2014-07-18
2946,589751213259,11/32,Maestro,2012-06-20
2947,4148077554249060,05/23,VISA 16 digit,1994-08-10
2948,341005900192029,11/30,American Express,1996-04-16
2949,3589969343136600,08/25,JCB 16 digit,2002-11-22
2950,30079680292040,06/27,Diners Club / Carte Blanche,2016-10-15
2951,6584951360518830,04/29,Discover,2003-01-09
2952,6522985634252340,11/28,Discover,1999-09-08
2953,4861296628101,12/28,VISA 13 digit,2017-05-11
2954,4859084223631490,04/28,VISA 16 digit,2011-09-05
2955,2302444091853090,08/27,Mastercard,2005-07-08
2956,4626378931681360,06/30,VISA 16 digit,2022-10-28
2957,3542989009113570,06/30,JCB 16 digit,2021-08-19
2958,2254155260342950,05/25,Mastercard,2009-04-23
2959,502020906520,04/24,Maestro,2008-12-03
2960,2289500959821750,11/28,Mastercard,1998-10-04
2961,4566621795091230,11/28,VISA 16 digit,1997-06-07
2962,501853343777,07/25,Maestro,2020-07-12
2963,370588735803054,08/31,American Express,2011-03-26
2964,639064799864,05/32,Maestro,2009-06-26
2965,4466397871206190,09/24,VISA 16 digit,1999-12-05
2966,6011898097561670,11/23,Discover,2010-05-26
2967,180048591471330,05/23,JCB 15 digit,2001-10-16
2968,2659332883324700,01/32,Mastercard,1997-04-03
2969,4971457837654,10/27,VISA 13 digit,1999-08-04
2970,676167847406,06/23,Maestro,2003-12-23
2971,3501098401285560,02/32,JCB 16 digit,2010-09-19
2972,180046819971636,02/23,JCB 15 digit,2002-08-15
2973,30095006995397,11/32,Diners Club / Carte Blanche,2006-07-28
2974,3540080305247310,11/25,JCB 16 digit,2003-12-25
2975,4165888802763710000,06/31,VISA 19 digit,2013-07-23
2976,4150234442231580000,06/32,VISA 19 digit,2009-03-18
2977,4246531301419510,04/25,VISA 16 digit,2001-04-17
2978,345088812147105,09/23,American Express,2015-07-14
2979,4005604075322970000,08/29,VISA 19 digit,2008-05-21
2980,502039455212,04/25,Maestro,2009-08-10
2981,30432731101308,08/28,Diners Club / Carte Blanche,2008-12-31
2982,6549170231780120,11/23,Discover,2003-09-25
2983,4890812210194110,09/31,VISA 16 digit,2017-12-30
2984,36092933007648,03/23,Diners Club / Carte Blanche,2018-10-02
2985,213170416970345,02/28,JCB 15 digit,2019-10-18
2986,349227908341430,08/27,American Express,2004-05-02
2987,4452262258600490000,08/25,VISA 19 digit,2005-12-09
2988,2409164443904040,10/25,Mastercard,1993-10-07
